source_mat_id,ref_code,ref_code_seq,ena_accession_number_sample,ena_accession_number_experiment_metag,ena_accession_number_experiment_metab,ena_accession_number_run_metag,ena_accession_number_run_metab,ena_accession_number_project,ena_accession_number_umbrella,biosamples_accession_number,event_id,old_source_mat_id
EMOBON_ROSKOGO_Wa_14,EMOBON00020,,ERS20568926,ERX13355911,,ERR13954816,,PRJEB51662,PRJEB51688,SAMEA115828409,ROSKOGO_Wa_210802,EMOBON_ROSKOGO_Wa_210802_3um_2
EMOBON_VB_Wa_4,EMOBON00025,,ERS20569044,ERX13355831,,ERR13954736,,PRJEB51664,PRJEB51688,SAMEA115828527,VB_Wa_210621,EMOBON_VB_Wa_210621_0.2um_1
EMOBON_VB_Wa_5,EMOBON00026,,ERS20569045,ERX13355832,,ERR13954737,,PRJEB51664,PRJEB51688,SAMEA115828528,VB_Wa_210621,EMOBON_VB_Wa_210621_0.2um_2
EMOBON_VB_Wa_1,EMOBON00023,,ERS20569042,ERX13355829,,ERR13954734,,PRJEB51664,PRJEB51688,SAMEA115828525,VB_Wa_210621,EMOBON_VB_Wa_210621_3um_1
EMOBON_VB_Wa_2,EMOBON00024,,ERS20569043,ERX13355830,,ERR13954735,,PRJEB51664,PRJEB51688,SAMEA115828526,VB_Wa_210621,EMOBON_VB_Wa_210621_3um_2
EMOBON_VB_Wa_43,EMOBON00029,,ERS20569048,ERX13355835,,ERR13954740,,PRJEB51664,PRJEB51688,SAMEA115828531,VB_Wa_210823,EMOBON_VB_Wa_210823_0.2um_1
EMOBON_VB_Wa_44,EMOBON00030,DBB_AABV,ERS14961281,ERX13332419,,ERR13930537,,PRJEB51664,PRJEB51688,SAMEA112966252,VB_Wa_210823,EMOBON_VB_Wa_210823_0.2um_2
EMOBON_VB_Wa_41,EMOBON00027,,ERS20569046,ERX13355833,,ERR13954738,,PRJEB51664,PRJEB51688,SAMEA115828529,VB_Wa_210823,EMOBON_VB_Wa_210823_3um_1
EMOBON_VB_Wa_42,EMOBON00028,,ERS20569047,ERX13355834,,ERR13954739,,PRJEB51664,PRJEB51688,SAMEA115828530,VB_Wa_210823,EMOBON_VB_Wa_210823_3um_2
EMOBON_AAOT_Wa_41,EMOBON00162,,ERS20568997,ERX14293787,,ERR14888796,,PRJEB50566,PRJEB51688,SAMEA115828480,AAOT_Wa_211015,EMOBON_AAOT_Wa_211015_3um_1
EMOBON_AAOT_Wa_42,EMOBON00163,,ERS20568998,ERX14293788,,ERR14888797,,PRJEB50566,PRJEB51688,SAMEA115828481,AAOT_Wa_211015,EMOBON_AAOT_Wa_211015_3um_2
EMOBON_AAOT_Wa_46,EMOBON00164,,ERS20568999,ERX14293789,,ERR14888798,,PRJEB50566,PRJEB51688,SAMEA115828482,AAOT_Wa_211015,EMOBON_AAOT_Wa_211015_0.2um_1
EMOBON_AAOT_Wa_47,EMOBON00165,,ERS20569000,ERX14293790,,ERR14888799,,PRJEB50566,PRJEB51688,SAMEA115828483,AAOT_Wa_211015,EMOBON_AAOT_Wa_211015_0.2um_2
EMOBON_AAOT_Wa_61,EMOBON00166,,ERS20569001,ERX14293791,,ERR14888800,,PRJEB50566,PRJEB51688,SAMEA115828484,AAOT_Wa_211214,EMOBON_AAOT_Wa_211214_3um_1
EMOBON_AAOT_Wa_62,EMOBON00167,,ERS20569002,ERX14293792,,ERR14888801,,PRJEB50566,PRJEB51688,SAMEA115828485,AAOT_Wa_211214,EMOBON_AAOT_Wa_211214_3um_2
