ref_code,source_material_id_orig,source_material_id
EMOBON00477,EMOBON_OSD74_Wa_220614_3um_1,EMOBON_OSD74_Wa_53
EMOBON00478,EMOBON_OSD74_Wa_220614_3um_2,EMOBON_OSD74_Wa_54
EMOBON00479,EMOBON_OSD74_Wa_220822_0.2um_1,EMOBON_OSD74_Wa_61
EMOBON00480,EMOBON_OSD74_Wa_220822_0.2um_2,EMOBON_OSD74_Wa_62
EMOBON00481,EMOBON_OSD74_Wa_220822_3um_1,EMOBON_OSD74_Wa_63
EMOBON00482,EMOBON_OSD74_Wa_220822_3um_2,EMOBON_OSD74_Wa_64
EMOBON00483,EMOBON_HCMR-1_Wa_211026_3um_1,EMOBON_HCMR-1_Wa_25
EMOBON00484,EMOBON_HCMR-1_Wa_211026_3um_2,EMOBON_HCMR-1_Wa_26
EMOBON00485,EMOBON_HCMR-1_Wa_211026_0.2um_1,EMOBON_HCMR-1_Wa_29
EMOBON00486,EMOBON_HCMR-1_Wa_211026_0.2um_2,EMOBON_HCMR-1_Wa_30
EMOBON00487,EMOBON_HCMR-1_Wa_220304_3um_1,EMOBON_HCMR-1_Wa_39
EMOBON00488,EMOBON_HCMR-1_Wa_220304_3um_2,EMOBON_HCMR-1_Wa_40
EMOBON00489,EMOBON_HCMR-1_Wa_220304_0.2um_1,EMOBON_HCMR-1_Wa_41
EMOBON00490,EMOBON_HCMR-1_Wa_220304_0.2um_2,EMOBON_HCMR-1_Wa_42
EMOBON00491,EMOBON_HCMR-1_Wa_220505_3um_1,EMOBON_HCMR-1_Wa_49
EMOBON00492,EMOBON_HCMR-1_Wa_220505_3um_2,EMOBON_HCMR-1_Wa_50
EMOBON00493,EMOBON_HCMR-1_Wa_220505_0.2um_1,EMOBON_HCMR-1_Wa_53
EMOBON00494,EMOBON_HCMR-1_Wa_220505_0.2um_2,EMOBON_HCMR-1_Wa_54
EMOBON00495,EMOBON_HCMR-1_Wa_220505_3um_blank,EMOBON_HCMR-1_Wa_57
EMOBON00496,EMOBON_HCMR-1_Wa_220505_0.2um_blank,EMOBON_HCMR-1_Wa_59
EMOBON00497,EMOBON_HCMR-1_Wa_220623_3um_1,EMOBON_HCMR-1_Wa_61
EMOBON00498,EMOBON_HCMR-1_Wa_220623_3um_2,EMOBON_HCMR-1_Wa_62
EMOBON00499,EMOBON_HCMR-1_Wa_220623_0.2um_1,EMOBON_HCMR-1_Wa_65
EMOBON00500,EMOBON_HCMR-1_Wa_2206230.2um_2,EMOBON_HCMR-1_Wa_66
EMOBON00501,EMOBON_HCMR-1_Wa_220623_3um_blank,EMOBON_HCMR-1_Wa_69
EMOBON00502,EMOBON_HCMR-1_Wa_220623_0.2um_blank,EMOBON_HCMR-1_Wa_71
EMOBON00503,EMOBON_HCMR-1_Wa_220915_3um_1,EMOBON_HCMR-1_Wa_73
EMOBON00504,EMOBON_HCMR-1_Wa_220915_3um_2,EMOBON_HCMR-1_Wa_74
EMOBON00505,EMOBON_HCMR-1_Wa_220915_0.2um_1,EMOBON_HCMR-1_Wa_77
EMOBON00506,EMOBON_HCMR-1_Wa_220915_0.2um_2,EMOBON_HCMR-1_Wa_78
EMOBON00507,EMOBON_HCMR-1_Wa_221027_3um_1,EMOBON_HCMR-1_Wa_85
EMOBON00508,EMOBON_HCMR-1_Wa_221027_3um_2,EMOBON_HCMR-1_Wa_86
EMOBON00509,EMOBON_HCMR-1_Wa_221027_0.2um_1,EMOBON_HCMR-1_Wa_89
EMOBON00510,EMOBON_HCMR-1_Wa_221027_0.2um_2,EMOBON_HCMR-1_Wa_90
EMOBON00511,EMOBON_Bergen_Wa_220426_3uM_1,EMOBON_Bergen_Wa_1
EMOBON00512,EMOBON_Bergen_Wa_220426_3uM_2,EMOBON_Bergen_Wa_2
EMOBON00513,EMOBON_Bergen_Wa_220426_0.2uM_1,EMOBON_Bergen_Wa_3
EMOBON00514,EMOBON_Bergen_Wa_220426_0.2uM_2,EMOBON_Bergen_Wa_4
EMOBON00515,EMOBON_Bergen_Wa_220630_3uM_1,EMOBON_Bergen_Wa_11
EMOBON00516,EMOBON_Bergen_Wa_220630_3uM_2,EMOBON_Bergen_Wa_12
EMOBON00517,EMOBON_Bergen_Wa_220630_0.2uM_1,EMOBON_Bergen_Wa_13
EMOBON00518,EMOBON_Bergen_Wa_220630_0.2uM_2,EMOBON_Bergen_Wa_14
EMOBON00519,EMOBON_Bergen_Wa_220630_3uM_blank,EMOBON_Bergen_Wa_19
EMOBON00520,EMOBON_Bergen_Wa_220630_0.2uM_blank,EMOBON_Bergen_Wa_20
EMOBON00521,EMOBON_Bergen_Wa_220831_3uM_1,EMOBON_Bergen_Wa_21
EMOBON00522,EMOBON_Bergen_Wa_220831_3uM_2,EMOBON_Bergen_Wa_22
EMOBON00523,EMOBON_Bergen_Wa_220831_0.2uM_1,EMOBON_Bergen_Wa_23
EMOBON00524,EMOBON_Bergen_Wa_220831_0.2uM_2,EMOBON_Bergen_Wa_24
EMOBON00525,EMOBON_UMF_Wa_220830_3um_1,EMOBON_UMF_Wa_1
EMOBON00526,EMOBON_UMF_Wa_220830_3um_2,EMOBON_UMF_Wa_2
EMOBON00527,EMOBON_UMF_Wa_220830_0.2um_1,EMOBON_UMF_Wa_5
EMOBON00528,EMOBON_UMF_Wa_220830_0.2um_2,EMOBON_UMF_Wa_6
EMOBON00529,EMOBON_UMF_Wa_220830_0.2um_1L,EMOBON_UMF_Wa_16
EMOBON00530,EMOBON_UMF_Wa_220830_0.2um_2L,EMOBON_UMF_Wa_17
EMOBON00531,EMOBON_UMF_Wa_220830_0.2um_3L,EMOBON_UMF_Wa_18
EMOBON00532,EMOBON_UMF_Wa_220830_0.2um_4L,EMOBON_UMF_Wa_19
EMOBON00533,EMOBON_IUIEilat_Wa_220223_0.2um_1,EMOBON_IUIEilat_Wa_31
EMOBON00534,EMOBON_IUIEilat_Wa_220223_0.2um_2,EMOBON_IUIEilat_Wa_32
EMOBON00535,EMOBON_IUIEilat_Wa_220223_3.0um_1,EMOBON_IUIEilat_Wa_35
EMOBON00536,EMOBON_IUIEilat_Wa_220223_3.0um_2,EMOBON_IUIEilat_Wa_36
EMOBON00537,EMOBON_IUIEilat_Wa_220508_0.2um_1,EMOBON_IUIEilat_Wa_41
EMOBON00538,EMOBON_IUIEilat_Wa_220508_0.2um_2,EMOBON_IUIEilat_Wa_42
EMOBON00539,EMOBON_IUIEilat_Wa_220508_3.0um_1,EMOBON_IUIEilat_Wa_45
EMOBON00540,EMOBON_IUIEilat_Wa_220508_3.0um_2,EMOBON_IUIEilat_Wa_46
EMOBON00541,EMOBON_IUIEilat_Wa_220705_0.2um_1,EMOBON_IUIEilat_Wa_51
EMOBON00542,EMOBON_IUIEilat_Wa_220705_0.2um_2,EMOBON_IUIEilat_Wa_52
EMOBON00543,EMOBON_IUIEilat_Wa_220705_3.0um_1,EMOBON_IUIEilat_Wa_55
EMOBON00544,EMOBON_IUIEilat_Wa_220705_3.0um_2,EMOBON_IUIEilat_Wa_56
EMOBON00545,EMOBON_ROSKOGO_So_210923_macro_1,EMOBON_ROSKOGO_So_6
EMOBON00546,EMOBON_MarBIo_S1_220607_220907_MF100,
EMOBON00547,EMOBON_BPNS_So_220420_macro_1,EMOBON_BPNS_So_51
EMOBON00548,EMOBON_BPNS_So_210701_meio_1,EMOBON_BPNS_So_1
EMOBON00549,EMOBON_BPNS_So_210701_meio_2,EMOBON_BPNS_So_2
EMOBON00550,EMOBON_BPNS_So_211028_meio_1,EMOBON_BPNS_So_28
EMOBON00551,EMOBON_BPNS_So_211028_meio_2,EMOBON_BPNS_So_29
EMOBON00552,EMOBON_BPNS_So_211028_meio_blank,EMOBON_BPNS_So_32
EMOBON00553,EMOBON_OOB_So_210608_meio_1,EMOBON_OOB_So_5
EMOBON00554,EMOBON_OOB_So_210608_meio_2,EMOBON_OOB_So_6
EMOBON00555,EMOBON_OOB_So_211012_meio_1,EMOBON_OOB_So_17
EMOBON00556,EMOBON_OOB_So_211012_meio_2,EMOBON_OOB_So_18
EMOBON00557,EMOBON_OOB_So_220425_meio_1,EMOBON_OOB_So_39
EMOBON00558,EMOBON_OOB_So_220425_meio_2,EMOBON_OOB_So_40
EMOBON00559,EMOBON_OOB_So_220628_meio_1,EMOBON_OOB_So_52
EMOBON00560,EMOBON_OOB_So_220628_meio_2,EMOBON_OOB_So_53
